page,dropdown_brand,section,insight_id,insight,source_mart,supporting_counts,comparison_values,evidence_threshold,status
Airport View,ALL,Airport insights,AP_ALL_01,LAX shows the clearest cross-brand contrast.,"57_airport_view_brand_airport.csv | 57_airport_view_battlegrounds.csv","Amex LAX: positive=2 negative=25 mixed=2 total=29","Delta LAX: positive=16 negative=1 mixed=2 total=19",Frozen same-airport comparison eligibility,PASS
Airport View,ALL,Airport insights,AP_ALL_02,JFK separates Capital One from Amex and Chase.,57_airport_view_battlegrounds.csv,"Capital One JFK: positive=20 negative=1 total=24","Amex negative=19/31; Chase negative=16/28",Frozen same-airport comparison eligibility,PASS
Airport View,ALL,Airport insights,AP_ALL_03,LAS shows three distinctly different feedback mixes.,57_airport_view_battlegrounds.csv,"Capital One LAS: positive=11 negative=0 total=12","Chase negative=17/30; Amex positive=8 negative=7 total=18",Frozen same-airport comparison eligibility,PASS
Airport View,AMEX,Airport insights,AP_AMEX_01,LAX is the clearest Amex airport pressure point.,"57_airport_view_brand_airport.csv | 57_airport_view_battlegrounds.csv","Amex LAX: positive=2 negative=25 total=29","Delta LAX: positive=16 negative=1 total=19",Frozen watchlist and same-airport comparison eligibility,PASS
Airport View,AMEX,Airport insights,AP_AMEX_02,SLC has Amex's most favorable comment mix among included airports.,57_airport_view_brand_airport.csv,"Amex SLC: positive=10 negative=1 mixed=3 total=14",,Frozen absolute airport eligibility,PASS
Airport View,AMEX,Airport insights,AP_AMEX_03,DFW shows a focused capacity problem.,57_airport_view_brand_airport.csv,"Amex DFW: positive=2 negative=13 mixed=8 total=23; crowding comments=8",,Frozen supported-driver eligibility,PASS
Airport View,CHASE,Airport insights,AP_CHASE_01,LAS is the clearest Chase airport pressure point.,"57_airport_view_brand_airport.csv | 57_airport_view_battlegrounds.csv","Chase LAS: positive=5 negative=17 total=30","Capital One LAS: positive=11 negative=0 total=12",Frozen same-airport comparison eligibility,PASS
Airport View,CHASE,Airport insights,AP_CHASE_02,LGA is the strongest positive Chase location in the measured feedback.,57_airport_view_brand_airport.csv,"Chase LGA: positive=17 negative=8 mixed=3 total=28",,Frozen positive watchlist eligibility,PASS
Airport View,CHASE,Airport insights,AP_CHASE_03,JFK combines negative feedback with a clear queue-related issue.,57_airport_view_brand_airport.csv,"Chase JFK: positive=7 negative=16 mixed=5 total=28; wait/queue comments=11",,Frozen supported-driver eligibility,PASS
Airport View,CAPITAL_ONE,Airport insights,AP_CAPITAL_ONE_01,JFK is Capital One's strongest competitive location in the available feedback.,57_airport_view_battlegrounds.csv,"Capital One JFK: positive=20 negative=1 total=24","Amex negative=19/31; Chase negative=16/28",Frozen same-airport comparison eligibility,PASS
Airport View,CAPITAL_ONE,Airport insights,AP_CAPITAL_ONE_02,LAS feedback is overwhelmingly positive for Capital One.,57_airport_view_battlegrounds.csv,"Capital One LAS: positive=11 negative=0 mixed=1 total=12","Chase negative=17/30",Frozen same-airport comparison eligibility,PASS
Airport View,CAPITAL_ONE,Airport insights,AP_CAPITAL_ONE_03,DCA pairs positive feedback with a clear food-quality strength.,57_airport_view_brand_airport.csv,"Capital One DCA: positive=10 negative=1 mixed=5 total=16; food-quality comments=9",,Frozen positive watchlist and supported-driver eligibility,PASS
Airport View,DELTA,Airport insights,AP_DELTA_01,Delta feedback at LAX is predominantly positive.,57_airport_view_brand_airport.csv,"Delta LAX: positive=16 negative=1 mixed=2 total=19",,Frozen positive watchlist eligibility,PASS
Airport View,DELTA,Airport insights,AP_DELTA_02,LAX provides a clear head-to-head contrast with Amex.,57_airport_view_battlegrounds.csv,"Delta LAX: positive=16 negative=1 total=19","Amex LAX: positive=2 negative=25 total=29",Frozen same-airport comparison eligibility,PASS
