page,dropdown_brand,section,insight_id,headline,evidence_text,implication_text,implication_type,primary_brand,comparison_brand,source_mart,metric_1_name,metric_1_value,metric_2_name,metric_2_value,evidence_threshold,evidence_threshold_pass,display_order
Airport View,ALL,Airport insights,AP_ALL_01,LAX shows the clearest cross-brand contrast.,At LAX 25 of 29 Amex comments are negative while 16 of 19 Delta comments are positive.,The same location produces sharply different feedback patterns for Amex and Delta.,Product + Marketing,AMEX,DELTA,"57_airport_view_brand_airport.csv | 57_airport_view_battlegrounds.csv","Amex negative | total","25 | 29","Delta positive | total","16 | 19",Frozen same-airport comparison eligibility,TRUE,1
Airport View,ALL,Airport insights,AP_ALL_02,JFK separates Capital One from Amex and Chase.,Capital One has 20 positive comments out of 24; Amex has 19 negative out of 31 and Chase has 16 negative out of 28.,JFK shows a clear contrast: Capital One feedback is predominantly positive while Amex and Chase feedback is much more negative.,Product + Marketing,CAPITAL_ONE,"AMEX | CHASE",57_airport_view_battlegrounds.csv,"Capital One positive | total","20 | 24","Amex negative | Chase negative","19 | 16",Frozen same-airport comparison eligibility,TRUE,2
Airport View,ALL,Airport insights,AP_ALL_03,LAS shows three distinctly different feedback mixes.,Capital One has 11 positive and no negative comments out of 12; Chase has 17 negative out of 30; Amex is nearly balanced at 8 positive and 7 negative out of 18.,The three-way contrast shows that the same airport does not produce a uniform lounge feedback pattern across brands.,Product + Marketing,CAPITAL_ONE,"AMEX | CHASE",57_airport_view_battlegrounds.csv,"Capital One positive | negative","11 | 0","Chase negative | Amex positive-negative","17 | 8-7",Frozen same-airport comparison eligibility,TRUE,3
Airport View,AMEX,Airport insights,AP_AMEX_01,LAX is the clearest Amex airport pressure point.,At LAX 25 of 29 Amex comments are negative while 16 of 19 Delta comments are positive.,The concentration of negative Amex comments alongside positive Delta feedback makes LAX a distinctly local competitive pressure point.,Product,AMEX,DELTA,"57_airport_view_brand_airport.csv | 57_airport_view_battlegrounds.csv","Amex negative | total","25 | 29","Delta positive | total","16 | 19",Frozen watchlist and same-airport comparison eligibility,TRUE,1
Airport View,AMEX,Airport insights,AP_AMEX_02,SLC has Amex's most favorable comment mix among included airports.,Ten of 14 Amex comments at SLC are positive and one is negative.,The result is directionally encouraging but remains outside the stricter positive-location ranking.,Product,AMEX,,57_airport_view_brand_airport.csv,"positive | negative","10 | 1",unique_comments,14,Frozen absolute airport eligibility,TRUE,2
Airport View,AMEX,Airport insights,AP_AMEX_03,DFW shows a focused capacity problem.,Thirteen of 23 Amex comments at DFW are negative; crowding is the strongest supported local driver across eight comments.,The supported driver narrows DFW's negative pattern to a capacity-related experience issue.,Product,AMEX,,57_airport_view_brand_airport.csv,"negative | total","13 | 23","driver | comments","CROWDING | 8",Frozen supported-driver eligibility,TRUE,3
Airport View,CHASE,Airport insights,AP_CHASE_01,LAS is the clearest Chase airport pressure point.,At LAS 17 of 30 Chase comments are negative while 11 of 12 Capital One comments are positive.,The same airport produces a much weaker feedback mix for Chase than for Capital One.,Product + Marketing,CHASE,CAPITAL_ONE,"57_airport_view_brand_airport.csv | 57_airport_view_battlegrounds.csv","Chase negative | total","17 | 30","Capital One positive | total","11 | 12",Frozen same-airport comparison eligibility,TRUE,1
Airport View,CHASE,Airport insights,AP_CHASE_02,LGA is the strongest positive Chase location in the measured feedback.,Seventeen of 28 Chase comments at LGA are positive and eight are negative.,LGA is the clearest positive exception within Chase's measured airport feedback.,Product,CHASE,,57_airport_view_brand_airport.csv,"positive | negative","17 | 8",unique_comments,28,Frozen positive watchlist eligibility,TRUE,2
Airport View,CHASE,Airport insights,AP_CHASE_03,JFK combines negative feedback with a clear queue-related issue.,Sixteen of 28 Chase comments at JFK are negative; wait time and queues are the strongest supported local driver across 11 comments.,The supported queue driver suggests arrival and entry friction is central to Chase's negative JFK pattern.,Product,CHASE,,57_airport_view_brand_airport.csv,"negative | total","16 | 28","driver | comments","WAIT_TIME_QUEUE | 11",Frozen supported-driver eligibility,TRUE,3
Airport View,CAPITAL_ONE,Airport insights,AP_CAPITAL_ONE_01,JFK is Capital One's strongest competitive location in the available feedback.,Twenty of 24 Capital One comments at JFK are positive while Amex and Chase feedback at the same airport leans negative.,JFK shows a clear local contrast between Capital One's positive feedback mix and the more negative Amex and Chase patterns.,Product + Marketing,CAPITAL_ONE,"AMEX | CHASE",57_airport_view_battlegrounds.csv,"Capital One positive | total","20 | 24","Amex negative | Chase negative","19 | 16",Frozen same-airport comparison eligibility,TRUE,1
