page,section,insight_id,displayed_statement,source_mart,underlying_metrics,calculated_values,evidence_threshold,implication_type,status
Executive Overview,Key insights,EX_KEY_01,Amex discussion is high-volume but tilts negative.,56_executive_brand_comment_summary.csv,"unique=508; positive=138; negative=247","negative share=48.6220%; positive share=27.1654%",Frozen qualifying comment population,Product + Marketing,PASS
Executive Overview,Key insights,EX_KEY_02,Access and capacity is the clearest recurring Amex pressure point in the measured feedback.,"56_executive_theme_brand_summary.csv | 48_aspect_sentiment_long.csv","theme unique=233; negative=153; crowding comments=118; crowding positive=10; crowding negative=105","theme negative share=65.6652%; crowding negative share among sentiment-bearing observations=90.5172%",Supported national aspect and competitive finding,Product,PASS
Executive Overview,Key insights,EX_KEY_03,Food and beverage is the strongest positive counterweight in the measured feedback.,56_executive_theme_brand_summary.csv,"theme unique=154; positive=80; beverage comments=57","theme positive share=51.9481%",Supported national aspect,Product + Marketing,PASS
Executive Overview,Brand-level signals,EX_BRAND_01,More conversation is not translating into the strongest feedback mix.,56_executive_brand_comment_summary.csv,"Amex unique=508; positive=138; Chase positive=126; Chase unique=328","Amex positive share=27.1654%; Chase positive share=38.4146%",Frozen brand comment population,Product + Marketing,PASS
Executive Overview,Brand-level signals,EX_BRAND_02,Delta sets the strongest positive-mix benchmark in this sample.,56_executive_brand_comment_summary.csv,"Delta positive=114; unique=159; Amex positive=138; unique=508","Delta positive share=71.6981%; Amex positive share=27.1654%",Frozen brand comment population,Product + Marketing,PASS
Executive Overview,Brand-level signals,EX_BRAND_03,Capital One pairs lower discussion volume with a strong positive mix.,56_executive_brand_comment_summary.csv,"Capital One positive=134; negative=36; unique=214; Amex unique=508","Capital One positive share=62.6168%; Amex positive share=27.1654%",Frozen brand comment population,Product + Marketing,PASS
Executive Overview,Theme insights,EX_THEME_01,Crowding is both an absolute and competitive weakness.,"48_aspect_sentiment_long.csv | 56_executive_theme_brand_summary.csv","primary Amex crowding comments=118; positive=10; negative=105; existing competitive position=TRUE_WEAKNESS","positive=10; negative=105; mixed/neutral=1; no sentiment=4",Supported national aspect and competitive finding,Product,PASS
Executive Overview,Theme insights,EX_THEME_02,Food and beverage provides a credible positive foundation.,56_executive_theme_brand_summary.csv,"positive=80; negative=52; unique=154; beverage comments=57","positive share=51.9481%; negative share=33.7662%",Supported theme and national aspect,Product + Marketing,PASS
Executive Overview,Theme insights,EX_THEME_03,Space and convenience is a broad secondary pressure.,56_executive_theme_brand_summary.csv,"positive=51; negative=77; unique=139; no supported negative subtheme","positive share=36.6906%; negative share=55.3957%",Frozen theme comment population; no unsupported subtheme claim,Product,PASS
Executive Overview,Trend insights,EX_TREND_01,Access pressure persists across every well-supported month.,56_executive_theme_monthly.csv,"HIGH/MED months=7; negative=146; positive=38","negative months=7 of 7",High/medium monthly sample only,Product,PASS
Executive Overview,Trend insights,EX_TREND_02,General feedback weakened sharply after an almost balanced June.,56_executive_theme_monthly.csv,"June positive=24 negative=23 n=52 HIGH; August positive=4 negative=25 n=35 HIGH","June balance=0.01923; August balance=-0.60000",Both months HIGH sample,Product + Marketing,PASS
Executive Overview,Trend insights,EX_TREND_03,Food and beverage remains positive in the better-supported months.,56_executive_theme_monthly.csv,"HIGH/MED months=5; positive=65; negative=37; August n=14 LOW","HIGH/MED balance=0.2314; August balance=-0.3571",High/medium trend evidence; low-sample caveat shown,Product + Marketing,PASS
