brand,airport_code,comparison_score_100,comparison_frozen_comments,same_airport_difference_pp,sampled_competitor_count,sampled_competitor_comments,brand_display,positive_comments,negative_comments,mixed_neutral_comments,unique_comments,frozen_overall_score_100,frozen_overall_comments,frozen_attribute_score_100,frozen_attribute_comments,eligible_metrics,airport_name,city,state,latitude,longitude,source,source_positive_comments,source_negative_comments,source_mixed_neutral_comments,source_unique_comments,airport_unique_comments,driver_aspect,driver_label,driver_theme,driver_score_100,driver_comments,driver_type,watchlist_section,watchlist_order,presentation_direction,brand_order,comparison_takeaway,comparison_label
AMEX,JFK,-49.01960784313726,17,-46.24183006535949,2,33,Amex,7,19,5,31,-47.61904761904761,21.0,-49.01960784313726,17.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,John F. Kennedy International Airport,New York,NY,40.63992805,-73.77869222,FAA NASR APT_BASE 2026-03-19,7,19,5,31,75,,,,,,,ATTENTION,2.0,NEGATIVE,1,Capital One receives the strongest feedback among the represented brands at JFK.,Multi-brand comparison
CAPITAL_ONE,JFK,66.66666666666667,14,118.28703703703704,2,36,Capital One,20,1,3,24,100.0,17.0,66.66666666666667,14.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,John F. Kennedy International Airport,New York,NY,40.63992805,-73.77869222,FAA NASR APT_BASE 2026-03-19,20,1,3,24,75,,,,,,,POSITIVE,1.0,POSITIVE,3,Capital One receives the strongest feedback among the represented brands at JFK.,Multi-brand comparison
CHASE,JFK,-53.94736842105263,19,-57.173174872665534,2,31,Chase,7,16,5,28,25.0,12.0,-53.94736842105263,19.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,John F. Kennedy International Airport,New York,NY,40.63992805,-73.77869222,FAA NASR APT_BASE 2026-03-19,7,16,5,28,75,WAIT_TIME_QUEUE,Wait time & queues,Access & Capacity,-100.0,11.0,ABSOLUTE_STRENGTH,,,NEGATIVE,2,Capital One receives the strongest feedback among the represented brands at JFK.,Multi-brand comparison
AMEX,LAS,-1.7857142857142856,14,14.809523809523812,2,35,Amex,8,7,3,18,30.0,10.0,-1.7857142857142856,14.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Harry Reid International Airport,Las Vegas,NV,36.08034277,-115.15244861,FAA NASR APT_BASE 2026-03-19,8,7,3,18,50,,,,,,,,,POSITIVE,1,Capital One receives the strongest feedback among the represented brands at LAS.,Multi-brand comparison
CAPITAL_ONE,LAS,93.75,8,126.8191056910569,2,41,Capital One,11,0,1,12,,,93.75,8.0,ATTRIBUTE_INDEX,Harry Reid International Airport,Las Vegas,NV,36.08034277,-115.15244861,FAA NASR APT_BASE 2026-03-19,11,0,1,12,50,,,,,,,,,POSITIVE,3,Capital One receives the strongest feedback among the represented brands at LAS.,Multi-brand comparison
CHASE,LAS,-49.29012345679013,27,-82.24466891133557,2,22,Chase,5,17,8,30,10.0,10.0,-49.29012345679013,27.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Harry Reid International Airport,Las Vegas,NV,36.08034277,-115.15244861,FAA NASR APT_BASE 2026-03-19,5,17,8,30,50,CROWDING,Crowding,Access & Capacity,-75.0,8.0,ABSOLUTE_PAIN_POINT,,,NEGATIVE,2,Capital One receives the strongest feedback among the represented brands at LAS.,Multi-brand comparison
AMEX,LAX,-63.8655462184874,17,-108.30999066293184,1,9,Amex,2,25,2,29,-88.88888888888889,18.0,-63.8655462184874,17.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Los Angeles International Airport,Los Angeles,CA,33.94249638,-118.40804861,FAA NASR APT_BASE 2026-03-19,2,25,2,29,41,AMBIENCE_DESIGN,Ambience,"Space, Amenities & Convenience",-100.0,8.0,ABSOLUTE_STRENGTH,ATTENTION,1.0,NEGATIVE,1,Delta receives stronger feedback than Amex in the available LAX sample.,Head-to-head
DELTA,LAX,44.44444444444444,9,108.30999066293184,1,17,Delta,16,1,2,19,100.0,16.0,44.44444444444444,9.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,Los Angeles International Airport,Los Angeles,CA,33.94249638,-118.40804861,FAA NASR APT_BASE 2026-03-19,16,1,2,19,41,,,,,,,POSITIVE,3.0,POSITIVE,4,Delta receives stronger feedback than Amex in the available LAX sample.,Head-to-head
AMEX,LGA,-15.0,10,-30.0,2,39,Amex,3,6,5,14,-12.5,8.0,-15.0,10.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,LaGuardia Airport,New York,NY,40.77724222,-73.87260555,FAA NASR APT_BASE 2026-03-19,3,6,5,14,56,,,,,,,ATTENTION,4.0,NEGATIVE,1,Capital One receives the strongest feedback among the represented brands at LGA.,Multi-brand comparison
CAPITAL_ONE,LGA,35.27777777777777,18,41.72939068100358,2,31,Capital One,11,4,4,19,61.53846153846154,13.0,35.27777777777777,18.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,LaGuardia Airport,New York,NY,40.77724222,-73.87260555,FAA NASR APT_BASE 2026-03-19,11,4,4,19,56,,,,,,,,,POSITIVE,3,Capital One receives the strongest feedback among the represented brands at LGA.,Multi-brand comparison
CHASE,LGA,-2.380952380952381,21,-19.70238095238096,2,28,Chase,17,8,3,28,100.0,16.0,-2.380952380952381,21.0,ATTRIBUTE_INDEX | OVERALL_EXPERIENCE,LaGuardia Airport,New York,NY,40.77724222,-73.87260555,FAA NASR APT_BASE 2026-03-19,17,8,3,28,56,,,,,,,POSITIVE,2.0,POSITIVE,2,Capital One receives the strongest feedback among the represented brands at LGA.,Multi-brand comparison
